,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
175,17.203125,1.8205220000000003e-15,2.271166e-14,3.149201e-14,4.937059e-13,0.00028358990105744285,8.930816e-18,
51,17.25,1.454346e-15,1.599666e-14,1.2529379999999999e-13,1.8231239999999998e-13,2.0762743248269268e-05,2.6014429999999997e-18,
179,17.25,1.0180599999999998e-15,2.0995819999999997e-14,1.5212409999999997e-14,1.617953e-13,0.000830830880840051,1.2638939999999999e-17,
123,17.296875,1.188142e-15,2.7413569999999998e-14,1.545186e-14,8.341597999999999e-14,8.175242333285442e-05,1.2632269999999999e-18,
139,17.296875,1.665997e-15,1.8026229999999997e-14,4.647224e-15,2.0469989999999997e-13,0.00046709196716147096,2.170681e-18,
19,17.34375,1.102163e-15,3.8035099999999994e-14,1.029588e-14,5.7750909999999996e-15,5.9530656922963354e-05,6.129204999999999e-19,
11,17.390625,1.3046649999999999e-15,7.843098e-15,6.194623e-15,1.5015079999999998e-12,0.003275577868096251,2.0290970000000003e-17,
183,17.390625,1.4212030000000001e-15,2.447413e-14,1.5197050000000002e-13,1.030118e-13,1.086101578924857e-05,1.650554e-18,
79,17.625,1.6211229999999997e-15,7.324223e-15,2.6276349999999994e-14,9.470498e-13,6.547351515716605e-05,1.7204049999999998e-18,
187,17.625,1.5341670000000002e-15,2.4395169999999998e-14,3.283939e-14,7.893236999999999e-14,0.00035573407423219496,1.1682089999999999e-17,
143,17.953125,1.2219080000000001e-15,3.134788e-14,1.5038379999999998e-13,1.7273199999999998e-13,2.52750163248967e-05,3.800953e-18,
115,18.046875,1.344848e-15,1.7455869999999998e-14,1.368643e-13,2.883405e-13,2.6754544464845837e-05,3.661742e-18,
191,18.140625,1.276634e-15,9.99289e-15,1.4572260000000001e-15,2.4875029999999995e-13,0.004963545805523645,7.233007999999999e-18,
75,18.28125,1.4942429999999999e-15,3.089095e-14,2.127691e-14,8.307321999999999e-13,0.000678800164121576,1.444277e-17,
83,18.375,1.466884e-15,1.726868e-14,5.781823e-14,4.804232e-13,9.002997843413746e-05,5.205374e-18,
119,18.421875,1.063794e-15,3.404647e-14,2.2686299999999996e-14,4.428353e-14,0.00029365886019315626,6.662033e-18,
43,18.46875,8.144776999999999e-16,5.532918999999999e-15,7.055594e-14,3.6994040000000007e-13,0.00015120385328294117,1.066833e-17,
163,18.703125,1.6603070000000001e-15,1.503866e-14,8.894673e-14,2.2440179999999999e-13,0.00019652999047857075,1.74807e-17,
195,18.890625,1.2446689999999998e-15,9.645369999999999e-15,6.055746e-14,1.5227229999999998e-13,6.458461104544344e-05,3.91108e-18,
71,19.078125,1.0913769999999997e-15,3.2476759999999994e-14,1.326642e-14,1.0863649999999999e-12,0.0015613888298425646,2.0714039999999998e-17,
103,19.171875,1.5292329999999997e-15,3.00463e-15,1.088893e-13,2.900747e-13,2.3878415969245828e-05,2.600104e-18,
27,19.171875,1.036464e-15,1.3094159999999998e-14,3.782380999999999e-14,2.087005e-13,0.00013505791722198267,5.1084049999999996e-18,
39,19.21875,1.300402e-15,1.0291190000000001e-14,6.907847999999999e-14,5.2160989999999994e-14,0.0004228697562540462,2.9211200000000004e-17,
95,19.6875,1.473901e-15,1.1595670000000001e-14,4.413461e-14,7.453890000000001e-15,2.5854856313446523e-05,1.1410939999999999e-18,
91,19.734375,1.244316e-15,2.541185e-14,1.354803e-14,4.115984999999999e-13,0.0005287621890415064,7.163686e-18,
135,19.734375,1.817321e-15,2.2843270000000002e-14,3.690129e-14,4.194991e-15,0.00031995168732583607,1.1806630000000001e-17,
167,19.875,1.2627570000000002e-15,3.501723e-14,1.49955e-13,3.980341e-13,0.00012081911240038676,1.8117429999999997e-17,
127,19.921875,8.794109999999999e-16,9.642438e-15,3.8747889999999994e-14,5.390536999999999e-15,0.00020360197677860654,7.889147e-18,
111,21.65625,1.6384729999999998e-15,3.062318e-14,1.4593299999999996e-15,1.275287e-13,0.0027939554453070936,4.077303e-18,
151,21.84375,1.6672920000000002e-15,2.855442e-14,3.234032e-14,1.776538e-13,0.0009298105275396161,3.0070369999999996e-17,
